Language,InventorySize,GapCount
kurt1248,31,2
kusa1250,22,1
kute1248,28,2
kwam1250,28,3
kwan1276,21,2
kwes1244,16,1
kwom1262,24,3
kyen1242,22,1
lada1244,33,2
lang1320,32,2
lazz1240,29,1
leal1235,28,3
lend1245,43,1
lepc1244,26,1
ligb1244,22,1
liji1238,29,1
lika1243,33,1
lisu1250,32,3
livv1244,23,1
logo1259,27,1
lowe1385,35,3
lugb1240,26,1
lund1266,22,1
luok1236,26,3
lush1249,33,1
luva1239,22,2
luxe1241,26,1
madi1260,45,1
mala1464,38,3
mala1522,20,1
malt1254,24,1
mamb1294,26,1
mamp1244,24,1
mang1394,36,1
mawa1270,24,2
mbuk1243,34,1
meen1242,26,2
mehr1241,31,2
mend1266,23,2
mere1246,33,1
mesc1238,31,1
mezq1235,42,4
mich1243,25,1
miju1243,34,2
mina1268,23,4
ming1252,30,2
mofu1248,35,1
molo1266,31,1
mono1269,35,1
mono1270,33,1
moro1284,42,1
moru1253,26,1
moss1236,17,1
mpad1242,30,3
mund1325,37,1
mung1266,21,3
mwag1236,25,3
nafa1258,25,2
naga1394,26,1
ndai1238,32,2
ndal1241,17,4
ndam1239,19,3
ndzw1235,32,2
ngas1240,24,2
ngit1239,44,1
ngiz1242,34,1
ngom1271,37,2
nige1255,25,2
nige1257,23,2
nonu1241,20,2
nort2627,23,2
nort2641,30,2
nort2646,22,2
nort2647,25,1
nort2671,63,7
nort2774,19,1
nort2775,30,1
nort2784,21,1
nort2845,12,3
nort2943,24,3
nucl1235,30,3
nucl1240,23,1
nucl1301,23,2
nucl1302,28,1
nucl1305,34,4
nucl1310,33,2
nucl1643,16,1
nucl1695,28,2
nupe1254,25,1
nyam1276,36,3
nyam1277,20,2
nyan1307,20,1
nyon1241,23,1
occi1239,27,2
okoo1245,18,2
pana1294,34,1
pang1287,23,4
park1239,31,1
paum1247,22,3
peng1244,22,2
pite1240,45,7
puri1258,31,3
rama1270,19,1
resi1247,32,3
roma1326,27,1
roma1327,40,2
ruka1240,23,3
rund1242,22,1
sala1264,31,5
sang1328,26,1
sanj1284,29,2
scot1243,24,3
scot1245,33,4
seba1251,39,2
sera1259,48,2
shan1282,22,1
sheh1240,30,3
sher1255,34,2
sher1258,24,2
shin1264,35,2
shum1243,44,2
sind1272,47,2
sion1247,18,1
siss1242,24,1
siwi1239,26,3
soch1239,18,4
soma1255,22,5
sout2642,24,1
sout2697,24,1
sout2774,24,1
sout2789,24,1
sout2790,25,2
sout2795,38,1
sout2828,47,1
sout2840,19,1
spit1240,33,2
stan1293,24,1
stan1295,24,2
stan1306,24,3
stod1241,35,2
subi1246,46,3
suga1248,58,4
suku1261,38,3
sumb1240,20,2
svan1243,30,1
swed1254,18,4
tagw1240,23,1
tain1252,19,3
tamp1252,24,1
tang1336,27,2
taus1251,20,1
teda1241,24,4
tedi1235,21,3
teen1242,28,2
tera1251,35,1
ters1235,51,4
tewa1260,34,5
tika1246,27,2
tini1245,22,2
tivv1240,31,4
tlac1235,24,1
tong1325,12,2
toro1252,21,2
tosk1239,29,2
tsha1245,32,1
tsot1241,19,5
tupu1244,28,1
umbu1257,20,2
uppe1395,33,2
vagl1239,24,1
vaii1241,28,1
vame1236,38,2
viet1252,21,1
vlax1238,27,2
vute1244,30,2
wand1278,45,1
wels1247,29,3
west2354,19,2
west2368,24,1
west2369,23,2
wymy1235,20,1
xing1248,16,1
yamb1251,26,2
yami1256,14,4
yape1248,28,3
yems1235,25,2
yomm1242,25,2
yong1270,37,3
yulu1243,35,1
yuro1248,23,3
zarm1239,20,2
zays1236,27,1
zinz1238,20,2
zulg1242,29,1
acha1249,36,3
atay1247,18,4
bata1285,20,1
bemb1257,15,2
biak1248,14,1
buku1249,20,2
caja1238,19,3
defa1248,18,1
dzuu1241,26,2
fang1248,23,2
fiji1243,19,2
guam1248,20,2
imba1240,17,3
keny1279,21,2
kora1295,19,2
lamb1276,16,1
leng1258,24,1
mach1266,33,3
mada1282,23,1
mans1258,20,3
mini1256,18,2
muin1242,22,3
nauk1242,18,2
njye1238,20,2
nyol1238,24,2
para1311,18,2
ural1274,26,4
utes1238,19,2
west2466,20,1
yaoo1241,18,1
yekh1238,26,2
apal1257,12,1
bade1248,33,1
cent2087,23,1
chon1287,40,2
duru1249,40,2
eloy1241,41,1
giry1241,40,2
hind1269,34,4
ital1282,23,1
kamb1298,40,2
kara1464,29,2
kaum1238,40,2
kirg1245,21,2
lagw1237,34,3
mamb1296,19,1
mman1238,22,1
mwan1247,21,1
nucl1417,24,4
qima1242,28,2
rawa1265,20,2
torw1241,38,1
yaou1238,23,1
zulu1248,32,1
toda1252,38,2
itel1242,27,1
izii1239,40,2
mama1271,29,2
naxi1245,38,2
russ1264,27,2
wuzl1236,34,2
assa1263,22,1
bulg1262,37,1
croa1245,25,2
east2282,38,2
egaa1242,27,1
ersu1241,54,1
erzy1239,29,1
komi1268,30,2
komi1269,30,2
mace1250,26,1
mayo1261,33,2
moks1248,35,1
muya1243,27,1
poli1260,27,1
russ1263,36,2
rusy1239,37,2
sala1272,23,1
slov1268,22,2
slov1269,30,3
stan1325,26,1
thad1238,23,3
ukra1253,35,3
bafa1249,26,2
bame1260,39,4
boro1277,22,1
khan1273,26,2
mira1251,22,1
mogh1246,33,2
mund1327,23,2
stan1289,25,1
bese1243,25,1
bilu1245,16,1
east2328,21,2
eton1253,21,1
loxi1235,23,2
savo1255,17,2
udmu1245,23,1
vaag1238,23,2
digo1243,41,1
elfd1234,37,2
kara1483,21,2
skol1241,51,2
aghe1239,28,1
diri1252,23,1
gagn1235,23,1
godi1239,26,1
koya1253,29,1
lako1244,27,1
libe1247,21,1
loma1260,21,1
meta1238,20,1
mmen1238,27,1
ngom1272,17,1
nort2795,61,2
sout2833,20,1
taro1263,27,1
xava1240,11,1
baim1244,40,1
kala1381,22,1
kash1277,28,2
nuer1246,20,1
aona1235,24,1
arbe1236,30,1
patt1248,38,2
dakp1242,34,1
jenn1240,26,1
samb1305,22,1
umot1240,12,1
merg1238,27,1
port1283,21,1
reun1238,30,2
stan1290,20,1
legb1242,38,1
paez1247,33,2
swis1247,26,1
